Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
112,40.6674_-73.9811,40.6674,-73.9811,0.5803242987942608,0.0,0.0,1.0,0.0
113,40.6826_-73.9905,40.6826,-73.9905,0.5765325533836481,0.0,0.0,2.0,0.0
114,40.5937_-73.977,40.5937,-73.977,0.5693265101836769,0.0,0.0,1.0,0.0
115,40.8069_-73.9197,40.8069,-73.9197,0.5390616369843414,0.0,0.0,1.0,0.0
116,40.8403_-73.9099,40.8403,-73.9099,0.536591499622506,0.0,0.0,1.0,0.0
117,40.861_-73.8901,40.861,-73.8901,0.5277405893645329,0.0,0.0,2.0,0.0
118,40.6919_-73.9783,40.6919,-73.9783,0.525491797468137,0.0,1.0,0.6666666666666666,0.0
119,40.6353_-73.9639,40.6353,-73.9639,0.5237439400217454,0.0,0.0,0.5,0.0
120,40.834_-73.9097,40.834,-73.9097,0.519251494820621,0.0,0.0,1.0,0.0
121,40.7524_-73.8191,40.7524,-73.8191,0.5173999174063313,0.0,0.0,1.0,0.0
122,40.7234_-73.9829,40.7234,-73.9829,0.4861502782599896,0.0,1.0,0.5,0.0
123,40.7764_-73.9543,40.7764,-73.9543,0.48442715509777257,0.0,0.0,0.0,0.0
124,40.6424_-74.0168,40.6424,-74.0168,0.4780189259675348,1.0,2.0,0.6666666666666666,2.0
125,40.6422_-73.9486,40.6422,-73.9486,0.47635399260007844,1.0,0.0,0.3333333333333333,0.0
126,40.5842_-73.9325,40.5842,-73.9325,0.4755416859044969,1.0,0.0,0.3333333333333333,0.0
127,40.7346_-73.988,40.7346,-73.988,0.47385124269035217,0.0,1.0,0.6666666666666666,0.0
128,40.6846_-73.9256,40.6846,-73.9256,0.46035411160212275,0.0,0.0,0.0,0.0
129,40.6782_-73.9851,40.6782,-73.9851,0.45633182655211696,0.0,0.0,0.0,0.0
