Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
65,40.6869_-73.9208,40.6869,-73.9208,0.90662885,1.0,0.0,1.3333333333333333,0.0
66,40.6837_-73.94,40.6837,-73.94,0.905405,8.0,0.0,8.0,0.0
67,40.8416_-73.8835,40.8416,-73.8835,0.90499747,1.0,0.0,1.0,0.0
68,40.7095_-73.9518,40.7095,-73.9518,0.90425646,2.0,0.0,1.0,0.0
69,40.8094_-73.94,40.8094,-73.94,0.903021,3.0,0.0,3.0,0.0
70,40.6955_-73.942,40.6955,-73.942,0.9001135,1.0,0.0,1.0,0.0
71,40.7556_-73.9975,40.7556,-73.9975,0.8975762,4.0,0.0,2.0,0.0
72,40.6734_-73.9657,40.6734,-73.9657,0.8951733,1.0,0.0,1.0,0.0
73,40.6621_-73.9212,40.6621,-73.9212,0.89333105,1.0,0.0,1.6666666666666667,0.0
74,40.6822_-73.9499,40.6822,-73.9499,0.8915094,1.0,0.0,1.0,0.0
75,40.8035_-73.9492,40.8035,-73.9492,0.89014393,1.0,0.0,1.0,0.0
76,40.8741_-73.8803,40.8741,-73.8803,0.8889571,1.0,0.0,1.0,0.0
77,40.6824_-73.9249,40.6824,-73.9249,0.88491243,3.0,0.0,1.6666666666666667,0.0
78,40.7411_-73.9941,40.7411,-73.9941,0.88431823,1.0,0.0,0.6666666666666666,0.0
79,40.8346_-73.9422,40.8346,-73.9422,0.884065,1.0,0.0,1.0,0.0
80,40.7224_-73.8079,40.7224,-73.8079,0.8803486,11.0,0.0,11.0,0.0
81,40.7274_-73.9904,40.7274,-73.9904,0.8785144,1.0,0.0,1.0,0.0
82,40.6382_-74.0262,40.6382,-74.0262,0.87641925,1.0,0.0,0.6666666666666666,0.0
83,40.8669_-73.8891,40.8669,-73.8891,0.87562,1.0,0.0,1.0,0.0
84,40.8199_-73.9458,40.8199,-73.9458,0.8711085,2.0,0.0,1.0,0.0
85,40.7653_-73.918,40.7653,-73.918,0.8631397,2.0,0.0,1.5,0.0
86,40.7519_-74.0026,40.7519,-74.0026,0.8625318,1.0,0.0,1.0,0.0
87,40.7101_-73.9514,40.7101,-73.9514,0.8517768,1.0,0.0,1.0,0.0
88,40.6654_-73.922,40.6654,-73.922,0.85086507,1.0,0.0,1.0,0.0
89,40.7018_-73.9373,40.7018,-73.9373,0.8495545,1.0,0.0,1.0,0.0
90,40.8237_-73.9262,40.8237,-73.9262,0.84888595,1.0,0.0,1.0,0.0
91,40.6954_-73.9422,40.6954,-73.9422,0.8457914,1.0,0.0,1.0,0.0
92,40.6972_-73.9109,40.6972,-73.9109,0.8457914,1.0,0.0,1.0,0.0
93,40.7631_-73.7755,40.7631,-73.7755,0.84182155,1.0,0.0,1.0,0.0
94,40.6369_-73.9572,40.6369,-73.9572,0.8314863,1.0,0.0,0.6666666666666666,0.0
95,40.8604_-73.8655,40.8604,-73.8655,0.8312092,1.0,0.0,1.0,0.0
96,40.8759_-73.9106,40.8759,-73.9106,0.83077437,2.0,0.0,1.0,0.0
97,40.7888_-73.9499,40.7888,-73.9499,0.82822907,2.0,0.0,0.6666666666666666,0.0
98,40.7361_-73.9807,40.7361,-73.9807,0.8274022,0.0,1.0,2.0,0.0
99,40.8582_-73.9007,40.8582,-73.9007,0.8192285,1.0,0.0,1.0,0.0
100,40.6629_-73.9849,40.6629,-73.9849,0.8152505,1.0,0.0,1.0,0.0
101,40.793_-73.9738,40.793,-73.9738,0.8080192,1.0,0.0,0.3333333333333333,0.0
102,40.7251_-73.9831,40.7251,-73.9831,0.80772287,1.0,0.0,0.6666666666666666,0.0
103,40.7438_-73.9959,40.7438,-73.9959,0.80572563,1.0,0.0,1.0,0.0
104,40.7181_-73.8393,40.7181,-73.8393,0.797689,1.0,0.0,1.0,0.0
105,40.6786_-73.984,40.6786,-73.984,0.7840216,1.0,0.0,0.6666666666666666,0.0
106,40.8298_-73.9211,40.8298,-73.9211,0.78313625,1.0,0.0,0.6666666666666666,0.0
