,0
lag_1_dumping,0.4392980767356272
lag_3_avg_rat,0.24951963606664668
lag_1_rat,0.15413456226778843
lag_2_rat,0.07754732406743821
year,0.03788514003012661
month,0.03313215478395534
lag_6_rat,0.008483106048417673
