Borough,Count,True Positives,False Positives,False Negatives,Accuracy,Precision (Risk),Recall (Risk),F1-Score (Risk)
MANHATTAN,5021.0,3289.0,754.0,214.0,0.8072097191794463,0.8135048231511254,0.9389095061375964,0.8717201166180758
BRONX,4753.0,1727.0,537.0,279.0,0.8283189564485588,0.7628091872791519,0.8609172482552343,0.8088992974238876
BROOKLYN,8151.0,3445.0,1264.0,542.0,0.7784320942215679,0.7315778296878318,0.8640581891146225,0.7923183072677092
STATEN ISLAND,659.0,162.0,72.0,65.0,0.7921092564491654,0.6923076923076923,0.7136563876651982,0.702819956616052
QUEENS,6123.0,1389.0,695.0,574.0,0.792748652621264,0.6665067178502879,0.7075904228222109,0.6864343958487769
Unspecified,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
